state,x,y
Andhra Pradesh,-66,-174
Arunachal Pradesh,247,113
Assam,198,65
Bihar,67,52
Chhattisgarh,-6,-38
Goa,-166,-167
Gujarat,-209,-6
Haryana,-118,126
Himachal Pradesh,-100,189
Jharkhand,54,8
Karnataka,-133,-185
Kerala,-127,-265
Madhya Pradesh,-78,1
Maharashtra,-142,-87
Manipur,228,29
Meghalaya,168,42
Mizoram,206,-11
Nagaland,245,63
Odisha,39,-55
Punjab,-135,166
Rajasthan,-181,75
Sikkim,123,90
Tamil Nadu,-81,-251
Telangana,-65,-112
Tripura,181,5
Uttar Pradesh,-32,81
Uttarakhand,-56,153
West Bengal,109,-9